gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Arterial EC	BEST4 enterocyte prog	Enteric neurons	Erythroblasts	FOXL1 FLC	Goblet prog	ICC	LGR5 stem	Lymphatic EC	NTS+ cells	Neural crest cells	SMC	UPK3B Serosa	Venous EC	WNT4 FLC	cycling cells 1	cycling cells 2	early enterocyte 1	early enterocyte 2	enterocyte	enteroendocrine	immune cells	mesoderm 1	mesoderm 2	myofibroblast	pericyte	uniform progenitor
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.317	0.057	0.0	0.019	0.306	0.12	0.431	0.168	0.304	0.047	0.085	0.0	0.376	0.105	0.391	0.437	0.456	0.398	0.971	0.3	0.128	0.02	0.057	0.108	0.053	0.527
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.0	0.0	0.803	0.011	0.0	0.029	0.0	0.0	0.0	0.0	0.137	0.004	0.0	0.0	0.031	0.009	0.009	0.0	0.0	0.0	0.165	0.0	0.0	0.023	0.015	0.0	0.012
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.093	2.412	0.0	0.628	0.142	0.0	0.329	0.0	0.042	2.75	0.146	0.631	0.09	0.188	0.322	0.258	0.115	0.051	0.049	0.303	0.131	0.18	0.145	0.042	0.329	0.342
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.0	0.017	0.049	0.0	0.086	0.143	0.0	0.049	0.0	0.046	0.033	0.013	0.0	0.0	0.039	0.028	0.024	0.03	0.033	0.049	0.096	0.0	0.008	0.037	0.035	0.059	0.028
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	2.487	1.259	0.783	0.081	0.979	0.65	0.358	0.637	1.425	1.126	0.471	0.517	1.532	1.757	0.785	0.899	0.668	0.776	1.012	1.861	0.671	0.281	0.619	0.958	0.603	0.863	0.913
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.005	0.0	0.001
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0	0.0	0.803	0.011	0.0	0.029	0.0	0.0	0.0	0.0	0.137	0.004	0.0	0.0	0.031	0.009	0.009	0.0	0.0	0.0	0.165	0.0	0.0	0.023	0.015	0.0	0.012
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.093	2.412	0.0	0.628	0.142	0.0	0.329	0.0	0.042	2.75	0.146	0.631	0.09	0.188	0.322	0.258	0.115	0.051	0.049	0.303	0.131	0.18	0.145	0.042	0.329	0.342
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.0	0.0	0.803	0.011	0.0	0.029	0.0	0.0	0.0	0.0	0.137	0.004	0.0	0.0	0.031	0.009	0.009	0.0	0.0	0.0	0.165	0.0	0.0	0.023	0.015	0.0	0.012
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.0	0.0	0.803	0.011	0.0	0.029	0.0	0.0	0.0	0.0	0.137	0.004	0.0	0.0	0.031	0.009	0.009	0.0	0.0	0.0	0.165	0.0	0.0	0.023	0.015	0.0	0.012
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.0	0.017	0.049	0.0	0.086	0.143	0.0	0.049	0.0	0.046	0.033	0.013	0.0	0.0	0.039	0.028	0.024	0.03	0.033	0.049	0.096	0.0	0.008	0.037	0.035	0.059	0.028
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.0	0.017	0.049	0.0	0.086	0.143	0.0	0.049	0.0	0.046	0.033	0.013	0.0	0.0	0.039	0.028	0.024	0.03	0.033	0.049	0.096	0.0	0.008	0.037	0.035	0.059	0.028
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.0	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.107	0.0	0.003	0.009	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	1.179	0.021	0.067	0.038	0.703	0.263	0.634	0.0	0.643	0.01	0.013	1.121	0.014	0.081	0.629	0.546	0.502	0.716	0.662	0.551	0.0	0.019	0.007	0.089	0.0	0.753
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.071	0.021	0.0	0.041	0.0	0.122	0.0	0.0	0.191	0.002	0.0	0.285	0.0	0.002	0.002	0.0	0.0	0.0	0.0	15.017	0.004	0.005	0.0	0.0	0.002
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.641	0.129	0.002	0.0	0.0	0.005	0.0	0.0	0.505	0.008	0.005	0.001	0.0	0.406	0.013	0.003	0.002	0.0	0.014	0.0	0.005	0.767	0.0	0.001	0.029	0.0	0.001
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.026	0.0	0.046	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.005	0.017	0.0	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.0	0.0	0.036	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.014	0.003	0.009	0.0	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.004	0.001	0.007	0.0	0.0	0.002	0.069	0.0	0.0	0.0	0.0	0.004
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.012	0.0	0.0	0.004	0.0	0.046	0.0	0.023	0.009	0.0	0.0	0.0	0.0	0.002	0.01	0.004	0.019	0.0	0.001	0.0	0.005	0.005	0.0	0.0	0.009
FGF19	O95750	False	FGF19_HUMAN		CPI-SS07A03C20F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.043	0.073	0.078	0.021	0.013	0.567	0.08	0.0	0.056	0.04	2.462	0.727	0.077	2.654	0.037	0.052	0.066	0.035	0.037	0.156	0.076	0.554	0.636	0.991	0.346	0.045
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.0	0.0	0.036	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.014	0.003	0.009	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.012	0.0	0.0	0.004	0.0	0.046	0.0	0.023	0.009	0.0	0.0	0.0	0.0	0.002	0.01	0.004	0.019	0.0	0.001	0.0	0.005	0.005	0.0	0.0	0.009
FGF19	O95750	False	FGF19_HUMAN		CPI-SS070A3A7E5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.003	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.0	0.0	0.145	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.006	0.083	0.0	0.0	0.025	0.002	0.001	0.0	0.0	0.0	0.0	0.008	0.073	0.039	0.044	0.02	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.0	0.0	0.036	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.014	0.003	0.009	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.0	0.0	0.008	0.068	0.526	0.006	0.544	0.023	0.0	0.006	0.005	0.816	0.0	0.074	0.013	0.005	0.006	0.011	0.006	0.0	0.042	0.283	0.168	0.34	0.168	0.076	0.003
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.012	0.0	0.0	0.004	0.0	0.046	0.0	0.023	0.009	0.0	0.0	0.0	0.0	0.002	0.01	0.004	0.019	0.0	0.001	0.0	0.005	0.005	0.0	0.0	0.009
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.043	0.073	0.078	0.021	0.013	0.567	0.08	0.0	0.056	0.04	2.462	0.727	0.077	2.654	0.037	0.052	0.066	0.035	0.037	0.156	0.076	0.554	0.636	0.991	0.346	0.045
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.0	0.0	0.145	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.006	0.083	0.0	0.0	0.025	0.002	0.001	0.0	0.0	0.0	0.0	0.008	0.073	0.039	0.044	0.02	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	4.723	0.754	0.69	0.101	3.077	1.177	4.025	0.885	10.701	1.033	0.697	1.668	2.417	4.242	3.324	1.083	1.225	1.086	0.91	2.334	0.538	2.889	2.447	2.316	2.409	8.636	1.387
TFF1	P04155	False	TFF1_HUMAN		CPI-SS04640F9C3	0.0	0.065	0.006	0.009	0.043	1.308	0.0	0.065	0.0	0.122	0.003	0.005	0.0	0.0	0.029	0.156	0.183	0.269	1.08	2.026	0.096	0.0	0.006	0.004	0.02	0.032	0.239
ROS1	P08922	False	ROS1_HUMAN		CPI-SS0DC322B61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.012	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.001
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	1.215	0.158	0.483	0.016	1.155	0.041	1.429	0.091	0.505	0.047	0.33	0.482	0.0	0.979	1.072	0.042	0.024	0.0	0.009	0.0	0.091	0.019	1.143	0.888	1.193	0.53	0.028
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.0	0.0	0.036	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.014	0.003	0.009	0.0	0.0
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0BC9F7E9E	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.012	0.0	0.0	0.004	0.0	0.046	0.0	0.023	0.009	0.0	0.0	0.0	0.0	0.002	0.01	0.004	0.019	0.0	0.001	0.0	0.005	0.005	0.0	0.0	0.009
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.043	0.073	0.078	0.021	0.013	0.567	0.08	0.0	0.056	0.04	2.462	0.727	0.077	2.654	0.037	0.052	0.066	0.035	0.037	0.156	0.076	0.554	0.636	0.991	0.346	0.045
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.0	0.077	0.004	0.0	0.289	0.202	0.073	0.302	0.0	0.203	0.001	0.478	0.0	0.0	0.075	0.248	0.149	0.136	0.07	0.086	0.101	0.035	0.367	0.595	0.346	0.188	0.24
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.0	0.028	0.0	0.061	0.0	0.153	0.0	0.0	0.0	0.025	0.015	0.0	0.115	0.254	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.087	0.039	0.19	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.071	0.021	0.0	0.041	0.0	0.122	0.0	0.0	0.191	0.002	0.0	0.285	0.0	0.002	0.002	0.0	0.0	0.0	0.0	15.017	0.004	0.005	0.0	0.0	0.002
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.0	0.0	0.036	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.012	0.011	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.009	0.0	0.014	0.003	0.009	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.822	0.034	0.018	0.079	0.273	0.0	0.107	0.0	0.628	0.008	0.005	0.043	0.0	0.953	0.053	0.004	0.002	0.0	0.007	0.0	0.174	0.868	0.019	0.092	0.118	0.219	0.004
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.001
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.018	0.009	0.065	0.008	0.0	0.0	0.0	0.008	0.008	0.02	0.727	0.0	0.156	0.003	0.004	0.001	0.006	0.0	0.018	0.0	0.035	0.031	0.082	0.108	0.003
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.0	0.126	0.0	0.0	0.0	0.0	0.0	0.292	0.0	0.554	0.017	0.727	0.052	0.106	0.001	0.001	0.0	0.0	0.0	0.033	0.0	0.031	0.007	0.014	0.02	0.003
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.342	0.009	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.015	0.0	0.007	0.005	0.0	0.0	0.001
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	1.608	0.0	0.211	0.0	0.137	0.02	0.317	0.035	0.0	0.0	0.345	0.085	0.0	1.392	0.249	0.001	0.004	0.0	0.0	0.0	0.006	0.0	0.122	0.206	0.232	0.045	0.004
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.681	0.0	0.349	0.025	0.524	0.056	0.82	0.029	0.0	0.016	0.577	0.211	0.0	0.643	0.258	0.016	0.034	0.003	0.002	0.0	0.117	0.0	0.314	0.504	0.317	0.193	0.041
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.112	0.037	0.0	0.002	0.0	0.0	0.003
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	3.214	2.991	0.118	0.255	1.028	0.97	0.729	0.41	4.556	0.431	0.102	0.25	0.98	1.207	0.471	0.623	0.519	0.818	1.58	1.716	0.45	4.884	0.442	0.101	1.019	0.483	0.788
GPR42	O15529	False	GPR42_HUMAN		CPI-SS0528A694B	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.019	0.0	0.001
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	2.061	0.793	0.741	0.473	0.766	0.618	1.283	0.464	2.177	0.483	0.774	0.633	2.669	1.474	0.86	0.723	0.706	0.563	0.818	1.198	0.737	1.663	0.85	0.905	0.824	0.923	0.702
GLRA2	P23416	False	GLRA2_HUMAN		CPI-SS02904BE32	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.006	0.005	0.006	0.008	0.037	0.0	0.0	0.0	0.004	0.037	0.0	0.005
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	1.129	0.762	0.091	0.033	0.892	0.086	0.83	6.293	0.888	0.24	0.149	1.263	0.0	0.052	1.144	1.014	0.767	0.801	1.386	1.14	0.073	0.033	0.015	0.099	0.032	1.396
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.006	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.006	0.016	0.001	0.01	0.0	0.021	0.201	0.0	0.0	0.0	0.0	0.004
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS00FB3CB09	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.112	0.037	0.0	0.002	0.0	0.0	0.003
GPR42	O15529	False	GPR42_HUMAN		CPI-SS022AE18AF	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.019	0.0	0.001
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.74	1.935	0.44	0.528	0.736	0.405	0.14	0.776	0.168	0.753	0.447	0.421	0.806	0.372	0.309	0.741	0.551	0.583	0.677	1.099	0.595	0.246	0.604	0.706	0.485	0.353	0.538
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.0	0.0	0.0	0.0	0.055	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.112	0.037	0.0	0.002	0.0	0.0	0.003
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	2.061	0.793	0.741	0.473	0.766	0.618	1.283	0.464	2.177	0.483	0.774	0.633	2.669	1.474	0.86	0.723	0.706	0.563	0.818	1.198	0.737	1.663	0.85	0.905	0.824	0.923	0.702
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004
